master_id,lineage_id,name,first_public_year,time_scope,resource_type,trainability,is_independent_dataset,is_direct_robot_trainable,origin,embodiment,full_body_tier,hours,episodes,tasks,modalities,storage_format,access_bucket,access_status,download_verified,license,parent_aggregate,versions,primary_url,evidence_urls,evidence_level,source_scope,dedup_note,last_verified,citation_count,influence_tier,impact_score,verification_state,verification_note,official_source_count,project_url,semantic_scholar_url
R0201,humanplus,HumanPlus,2024,2022—2026主窗口,采集系统,系统本身不等于数据集,false,false,人体动作+仿真+真实humanoid,33-DoF双足humanoid,核心,40,,穿鞋起身行走、仓储、叠衣、打字、交互,人体RGB姿态;机器人本体;第一视角RGB;动作,项目数据/代码,可直接下载,数据与代码链接开放,是,项目条款,,HumanPlus (2024),https://humanoid-ai.github.io/,https://humanoid-ai.github.io/；https://github.com/MarkFzp/humanplus,A,原64项深读台账,,2026-09-02,0,高影响,562.3,来源与开放状态已核验,论文/数据卡与官方项目入口交叉核验,2,https://humanoid-ai.github.io/,
R0200,h2o,H2O,2024,2022—2026主窗口,采集系统,系统本身不等于数据集,false,false,真实humanoid+仿真训练,双足humanoid全身,核心,,,实时全身模仿与遥操作,人体关键点;机器人本体状态;动作,代码/模型资产,可直接下载,代码与论文开放,是,项目条款,,H2O (2024),https://human2humanoid.com/,https://human2humanoid.com/；https://arxiv.org/abs/2403.04436,A,原64项深读台账,,2026-09-02,275,高影响,562,来源与开放状态已核验,论文/数据卡与既有官方来源交叉核验,2,,https://www.semanticscholar.org/paper/01a70cb1ada213abaf966f735082a991ebe20b63
R0211,homie,HOMIE,2025,2022—2026主窗口,采集系统,可直接用于机器人策略训练,false,true,未统一披露,双足humanoid全身,核心,,,外骨骼驾驶舱loco-manipulation,,,部分开放/分散获取,论文与官方项目/代码入口已核验；数据包范围需按项目说明,待核验,未核验,,HOMIE (2025),https://arxiv.org/abs/2502.13013,https://arxiv.org/abs/2502.13013；https://homietele.github.io/,A,OpenAlex精确题名检索,,2026-09-02,158,较高影响,506.9,来源与开放状态已核验,论文/数据卡与官方项目入口交叉核验,2,https://homietele.github.io/,https://www.semanticscholar.org/paper/81248f230f1c6b392f88d3b56d90915585870c48
R0150,humanoidbench,HumanoidBench,2024,2022—2026主窗口,Benchmark/任务库,任务与评测为主,false,false,仿真,双足humanoid+双手,核心,,,locomotion、静态/动态全身操作,本体状态;物体状态;双头部相机;全身448 taxel触觉,MuJoCo环境/rollout,可直接下载,代码与任务开放；非固定专家数据集,是,CC BY-SA 4.0网站；代码许可证,,HumanoidBench (2024),https://humanoid-bench.github.io/,https://humanoid-bench.github.io/；https://github.com/carlosferrazza/humanoid-bench,A,原64项深读台账,,2026-09-02,0,高影响,500,来源与开放状态已核验,论文/数据卡与官方项目入口交叉核验,2,https://humanoid-bench.github.io/,
R0214,twist2,TWIST2,2025,2022—2026主窗口,采集系统,系统与采集数据,false,false,未统一披露,双足humanoid全身,核心,,,便携式全身humanoid采集,,,仅代码/论文,论文公开；数据入口按项目核验,无数据包,未核验,,TWIST2 (2025),https://arxiv.org/abs/2511.02832,https://arxiv.org/abs/2511.02832；https://twist-data.github.io,A,OpenAlex精确题名检索,,2026-09-02,85,较高影响,445.4,来源与开放状态已核验,论文/数据卡与官方项目入口交叉核验,2,https://twist-data.github.io,https://www.semanticscholar.org/paper/008f7982440110b8837a2ebe9422d3197a8daaab
R0210,clone,CLONE,2025,2022—2026主窗口,采集系统,系统本身不等于数据集,false,false,真实humanoid+仿真,双足humanoid全身,核心,,,长时程全身任务,人体动作;机器人状态;视觉反馈;动作,论文/代码状态待核验,未发现公开入口,论文身份与资源描述已核验；截至2026-09-02未发现可交叉确认的独立项目或下载入口,待核验,作者条款,,CLONE (2025),https://arxiv.org/abs/2506.08931,https://arxiv.org/abs/2506.08931,B,原64项深读台账,,2026-09-02,84,较高影响,444.3,论文已核验·未见独立入口,论文身份与摘要已核验；截至2026-09-02未检出可交叉确认的独立项目或下载入口,1,,https://www.semanticscholar.org/paper/5c9626c2be3a7ae81ad7422090ce913b47d7b876
R0107,unitracker,UniTracker,2025,2022—2026主窗口,独立数据集,可直接用于机器人策略训练,true,true,人体动作+仿真,多humanoid全身,核心,,,通用全身运动跟踪,人体运动;机器人本体;动作,代码/运动数据状态按项目,仅代码/论文,预印本/代码状态按官方仓库,无数据包,作者条款,,UniTracker (2025),https://arxiv.org/abs/2507.07356,https://arxiv.org/abs/2507.07356,B,原64项深读台账,,2026-09-02,59,较高影响,409.4,论文已核验·未见独立入口,论文身份与摘要已核验；截至2026-09-02未检出可交叉确认的独立项目或下载入口,1,,https://www.semanticscholar.org/paper/389a82bae660ca8956b86e7265fc569518d08688
R0019,mocapact,MoCapAct,2022,2022—2026主窗口,独立数据集,可直接用于机器人策略训练,true,true,MoCap经仿真专家策略转换,dm_control humanoid全身,核心,3,,多任务运动跟踪、运动补全与下游控制,本体观测;动作;专家策略rollout;MoCap参考,,可直接下载,代码与数据集公开,是,未核验,,MoCapAct (2022),https://arxiv.org/abs/2208.07363,https://arxiv.org/abs/2208.07363；https://microsoft.github.io/MoCapAct/；https://microsoft.github.io/MoCapAct,A,arXiv第三轮反向查漏,,2026-09-02,34,成长中,397.1,来源与开放状态已核验,论文/数据卡与官方项目入口交叉核验,3,https://microsoft.github.io/MoCapAct/,https://www.semanticscholar.org/paper/3e38ccc5ba9a4b4290060716614e02b7ba54df79
R0221,humanoid-manipulation-interface-hmi,Humanoid Manipulation Interface (HMI),2026,2022—2026主窗口,采集系统,系统本身不等于数据集,false,false,人体示范+真实humanoid,双足humanoid全身,核心,,,whole-body manipulation,人体视频/姿态;机器人状态;动作,预印本数据格式,未发现公开入口,论文身份与资源描述已核验；截至2026-09-02未发现可交叉确认的独立项目或下载入口,待核验,未核验,,Humanoid Manipulation Interface (HMI) (2026),https://arxiv.org/abs/2602.06643,https://arxiv.org/abs/2602.06643,B,原64项深读台账,,2026-09-02,25,成长中,325.8,论文已核验·未见独立入口,论文身份与摘要已核验；截至2026-09-02未检出可交叉确认的独立项目或下载入口,1,,https://www.semanticscholar.org/paper/817d1bb032db9a14c9e77be6ed9ceddcc29cc5af
R0222,humi,HuMI,2026,2022—2026主窗口,采集系统,系统本身不等于数据集,false,false,便携式robot-free人体全身采集,人类全身→humanoid全身,核心,,,跪、蹲、投掷、行走与双臂操作5项任务,,,未发现公开入口,论文身份与资源描述已核验；截至2026-09-02未发现可交叉确认的独立项目或下载入口,待核验,未核验,,HuMI (2026),https://arxiv.org/abs/2602.06643,https://arxiv.org/abs/2602.06643,B,arXiv第二轮反向查漏,,2026-09-02,25,成长中,325.8,论文已核验·未见独立入口,论文身份与摘要已核验；截至2026-09-02未检出可交叉确认的独立项目或下载入口,1,,https://www.semanticscholar.org/paper/817d1bb032db9a14c9e77be6ed9ceddcc29cc5af
