"id","name","year","category","origin","full_body_tier","embodiment","robot_platform","tasks","modalities","learning_goal","collection_system","teleoperation","synchronization","control_frequency","storage_format","episode_structure","action_representation","hours","trajectories","robots","tasks_count","objects_count","scenes_count","access_status","license","primary_url","secondary_url","evidence_level","limitations","last_verified"
"E001","RT-1 dataset","2022","真实机器人训练数据","真实机器人","非full-body","单臂移动操作平台","Everyday Robots mobile manipulator","日常抓取放置、抽屉、整理","RGB;语言;本体状态;动作","多任务模仿学习;VLA","集中式真机采集","人工遥操作与策略数据","官方论文描述","3 Hz（策略）","内部格式；后进入RLDS/Open X","episode-step","末端位姿增量+夹爪","","130000","13","700","","","论文公开；原始全量数据未独立开放","作者条款","https://arxiv.org/abs/2212.06817","https://robotics-transformer1.github.io/","B","规模为作者报告；主要服务单一机构与相近本体","2026-09-01"
"E002","CALVIN","2022","真实/仿真训练与评测集","真实机器人+仿真","非full-body","单臂夹爪","Franka Panda","长时程语言条件桌面操作","RGB-D;语言;本体状态;动作","语言条件模仿;长时程评测","自由play数据采集","遥操作","数据发布提供对齐序列","未统一公开","HDF5/视频；社区有RLDS版本","连续play切分为任务片段","末端/关节动作","24","","1","34","","1","可下载","项目条款","https://github.com/mees/calvin","https://arxiv.org/abs/2112.03227","A","固定环境；不含移动或全身平衡","2026-09-01"
"E003","Language-Table","2022","真实机器人训练数据","真实机器人","非full-body","单臂平面推物","xArm/定制桌面平台","语言条件物体移动","RGB;语言;动作","语言条件策略;表征预训练","集中式众包语言与遥操作","人工操作","项目数据管线","未核验","RLDS/TFDS","episode-step","二维末端动作","","594000","1","","","","可通过TFDS获取","Apache-2.0/数据条款","https://interactive-language.github.io/","https://arxiv.org/abs/2210.06407","A","动作空间与场景受限，规模不能等同多任务操作广度","2026-09-01"
"E004","Bi-DexHands","2022","仿真任务库与离线缓冲区","仿真","非full-body","双灵巧手","双Shadow Hand","双手协作、交接、工具与物体操作","状态;动作;物体位姿","RL;MARL;离线RL","Isaac Gym并行生成","策略生成","仿真时钟","任务相关","Isaac Gym张量/离线buffer","episode-step","关节动作","","","2","20","","","代码与部分离线数据可用","MIT","https://github.com/PKU-MARL/DexterousHands","https://arxiv.org/abs/2206.08686","A","基于已停止维护的Isaac Gym Preview；没有视觉真实域","2026-09-01"
"E005","BEHAVIOR-1K","2022-2026","仿真benchmark/任务与资产库","仿真","对照","移动操作；支持humanoid与四足带臂","OmniGibson多本体","1000项完整家庭活动","RGB-D;场景状态;物体状态;动作;任务谓词","长时程规划;移动操作;评测","程序化场景与任务实例化","控制器/策略生成","仿真时钟","任务相关","OmniGibson资产与轨迹接口","任务实例/episode","本体相关动作","","","多种","1000","10000+","50","代码和任务库开放","项目许可证/资产各自条款","https://behavior.stanford.edu/","https://github.com/StanfordVL/BEHAVIOR-1K","A","任务规模不是现成专家轨迹规模；跨本体演示覆盖不均","2026-09-01"
"E006","Ego4D","2022","人类上游视频数据","真实人类","上游","人类第一视角","可穿戴相机","日常活动、手物交互、社交与记忆","第一视角视频;音频;语言标注","视频预训练;行为理解;表征学习","多地点人类自然活动采集","不适用","视频与标注对齐","视频帧率","视频+JSON标注","视频片段/叙事片段","无机器人动作","3670","","","","","74地点","需签署许可后下载","Ego4D license","https://ego4d-data.org/","https://arxiv.org/abs/2110.07058","A","没有机器人状态和可执行动作；涉及隐私与上游许可","2026-09-01"
"E007","HOI4D","2022","人类上游交互数据","真实人类","上游","人类手/上身","头戴RGB-D","手物交互与工具使用","RGB-D;手姿;物体位姿;动作分割","HOI理解;姿态估计;上游预训练","头戴相机采集","不适用","RGB-D时间对齐","未核验","视频/点云/标注","序列","无机器人动作","","4000","","","800实例","","需申请/项目下载","研究条款","https://hoi4d.github.io/","https://arxiv.org/abs/2203.01577","A","主要是手物交互，不提供全身动力学与机器人控制量","2026-09-01"
"E008","HumanML3D","2022","人类动作-语言数据","MoCap汇聚","上游","人类全身","SMPL人体模型","日常全身动作","3D关节/SMPL;文本","文本到动作;运动先验","已有MoCap重标注","不适用","动作与文本对齐","20 fps（常用处理）","NumPy/文本","motion clip","无机器人动作","28.6","14616","","","","","可下载","来源数据条款","https://github.com/EricGuo5513/HumanML3D","https://arxiv.org/abs/2204.05200","A","不含接触力、物体状态和机器人可行性","2026-09-01"
"E009","AMASS","2019（背景）","人类MoCap汇聚数据","MoCap汇聚","上游","人类全身","SMPL/SMPL-H","广泛人体动作","身体姿态;形状;部分手部","humanoid运动先验;retargeting","多MoCap数据集统一参数化","不适用","统一人体模型时间序列","来源相关","NPZ/SMPL参数","motion sequence","无机器人动作","40+","11000+","","","","","注册后研究使用","非商业研究条款及子集条款","https://amass.is.tue.mpg.de/","https://arxiv.org/abs/1904.03278","A","不同子集许可和质量不同；没有物理接触与控制动作","2026-09-01"
"E010","GRAB","2020（背景）","人类全身物体交互数据","MoCap","上游","人类全身+手","SMPL-X+物体","全身抓取与物体交互","身体/手姿;物体位姿;接触","retargeting;人-物交互先验","MoCap与物体跟踪","不适用","统一MoCap时钟","未核验","SMPL-X/物体参数","交互序列","无机器人动作","4","1334","","","51","","注册后研究使用","非商业研究条款","https://grab.is.tue.mpg.de/","https://arxiv.org/abs/2008.11200","A","动作规模有限；从人体到机器人需要接触保持与动力学修正","2026-09-01"
