subdataset_id,dataset_name,first_public_year,year_basis,in_scope_2022_2026,robot,robot_morphology,episodes,file_size_gb,mb_per_episode,registered_dataset_name,open_x_access_status,data_collect_method,action_space,control_frequency,citation,notes,parent_aggregate,source_url
OX001,RT-1 Robot Action,2022,2022（官方表Citation字段）,true,Google Robot,Mobile Manipulator,73499,111.06,1.511,fractal20220817_data,可从Open X注册清单获取,Human VR,EEF Position,3,"@article{brohan2022rt,
  title={Rt-1: Robotics transformer for real-world control at scale},
  author={Brohan, Anthony and Brown, Noah and Carbajal, Justice and Chebotar, Yevgen and Dabis, Joseph and Finn, Chelsea and Gopalakrishnan, Keerthana and Hausman, Karol and Herzog, Alex and Hsu, Jasmine and others},
  journal={arXiv preprint arXiv:2212.06817},
  year={2022}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX002,QT-Opt,2018,2018（官方表Citation字段）,false,Kuka iiwa,Single Arm,580392,778.02,1.3405,kuka,可从Open X注册清单获取,Expert Policy,EEF Position,10,"@article{kalashnikov2018qt,
  title={Qt-opt: Scalable deep reinforcement learning for vision-based robotic manipulation},
  author={Kalashnikov, Dmitry and Irpan, Alex and Pastor, Peter and Ibarz, Julian and Herzog, Alexander and Jang, Eric and Quillen, Deirdre and Holly, Ethan and Kalakrishnan, Mrinal and Vanhoucke, Vincent and others},
  journal={arXiv preprint arXiv:1806.10293},
  year={2018}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX003,Berkeley Bridge,2023,2023（官方表Citation字段）,true,WidowX,Single Arm,25460,387.49,15.2196,bridge,可从Open X注册清单获取,Human VR,EEF Position,5,"@inproceedings{walke2023bridgedata,
    title={BridgeData V2: A Dataset for Robot Learning at Scale},
    author={Walke, Homer and Black, Kevin and Lee, Abraham and Kim, Moo Jin and Du, Max and Zheng, Chongyi and Zhao, Tony and Hansen-Estruch, Philippe and Vuong, Quan and He, Andre and Myers, Vivek and Fang, Kuan and Finn, Chelsea and Levine, Sergey},
    booktitle={Conference on Robot Learning (CoRL)},
    year={2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX004,Freiburg Franka Play,2022,2022（官方表Citation字段）,true,Franka,Single Arm,3242,47.77,14.7347,taco_play,可从Open X注册清单获取,Human VR,EEF Position,15,"@inproceedings{rosete2022tacorl,
author = {Erick Rosete-Beas and Oier Mees and Gabriel Kalweit and Joschka Boedecker and Wolfram Burgard},
title = {Latent Plans for Task Agnostic Offline Reinforcement Learning},
journal = {Proceedings of the 6th Conference on Robot Learning (CoRL)},
year = {2022}
}
@inproceedings{mees23hulc2,
title={Grounding  Language  with  Visual  Affordances  over  Unstructured  Data},
author={Oier Mees and Jessica Borja-Diaz and Wolfram Burgard},
booktitle = {Proceedings of the IEEE International Conference on Robotics and Automation (ICRA)},
year={2023},
address = {London, UK}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX005,USC Jaco Play,2023,2023（官方表Citation字段）,true,Jaco 2,Single Arm,976,9.24,9.4672,jaco_play,可从Open X注册清单获取,Human VR,EEF Position,10,"@software{dass2023jacoplay,
  author = {Dass, Shivin and Yapeter, Jullian and Zhang, Jesse and Zhang, Jiahui
            and Pertsch, Karl and Nikolaidis, Stefanos and Lim, Joseph J.},
  title = {CLVR Jaco Play Dataset},
  url = {https://github.com/clvrai/clvr_jaco_play_dataset},
  version = {1.0.0},
  year = {2023}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX006,Berkeley Cable Routing,2023,2023（官方表Citation字段）,true,Franka,Single Arm,1482,4.67,3.1511,berkeley_cable_routing,可从Open X注册清单获取,Human VR,EEF velocity,10,"@article{luo2023multistage,
  author    = {Jianlan Luo and Charles Xu and Xinyang Geng and Gilbert Feng and Kuan Fang and Liam Tan and Stefan Schaal and Sergey Levine},
  title     = {Multi-Stage Cable Routing through Hierarchical Imitation Learning},
  journal   = {arXiv pre-print},
  year      = {2023},
  url       = {https://arxiv.org/abs/2307.08927},
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX007,Roboturk,2019,2019（官方表Citation字段）,false,Sawyer,Single Arm,2144,45.39,21.1707,roboturk,可从Open X注册清单获取,Human VR,EEF Position,10,"@inproceedings{mandlekar2019scaling,
          title={Scaling robot supervision to hundreds of hours with roboturk: Robotic manipulation dataset through human reasoning and dexterity},
          author={Mandlekar, Ajay and Booher, Jonathan and Spero, Max and Tung, Albert and Gupta, Anchit and Zhu, Yuke and Garg, Animesh and Savarese, Silvio and Fei-Fei, Li},
          booktitle={2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
          pages={1048--1055},
          year={2019},
          organization={IEEE}
        }",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX008,NYU VINN,2021,2021（官方表Citation字段）,false,Hello Stretch,Mobile Manipulator,435,7.12,16.3678,nyu_door_opening_surprising_effectiveness,可从Open X注册清单获取,Human Kinesthetic,EEF Position,3,"@misc{pari2021surprising,
    title={The Surprising Effectiveness of Representation Learning for Visual Imitation}, 
    author={Jyothish Pari and Nur Muhammad Shafiullah and Sridhar Pandian Arunachalam and Lerrel Pinto},
    year={2021},
    eprint={2112.01511},
    archivePrefix={arXiv},
    primaryClass={cs.RO}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX009,Austin VIOLA,2022,2022（官方表Citation字段）,true,Franka,Single Arm,135,10.4,77.037,viola,可从Open X注册清单获取,Human Spacemouse,EEF Position,20,"@article{zhu2022viola,
  title={VIOLA: Imitation Learning for Vision-Based Manipulation with Object Proposal Priors},
  author={Zhu, Yifeng and Joshi, Abhishek and Stone, Peter and Zhu, Yuke},
  journal={6th Annual Conference on Robot Learning (CoRL)},
  year={2022}
}",,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
OX010,Berkeley Autolab UR5,2023,2023（最早可验证：Open X公开入口）,true,UR5,Single Arm,896,76.39,85.2567,berkeley_autolab_ur5,可从Open X注册清单获取,Human Spacemouse,EEF Position,5,"@misc{BerkeleyUR5Website,
  title = {Berkeley {UR5} Demonstration Dataset},
  author = {Lawrence Yunliang Chen and Simeon Adebola and Ken Goldberg},
  howpublished = {https://sites.google.com/view/berkeley-ur5/home},
}",未找到独立年份字段；按Open X于2023公开时的最早可验证入口记年。,Open X-Embodiment,https://docs.google.com/spreadsheets/d/1rPBD77tk60AEIGZrGSODwyyzs5FgCU9Uz3h-3_t2A9g/edit#gid=0
